"";"car_type";"original_value";"Freq"
"1";"тент";"любой закрытый";1112
"2";"тент";"авто";364
"3";"тент";"Закрытый";66
"4";"тент";"закрытый";65
"5";"тент";"любой открытый";12
"6";"тент";"закрытый, отдельная";9
"7";"необработанные";"тент";436
"8";"необработанные";"авиа";163
"9";"необработанные";"Реф+10";40
"10";"необработанные";"цельнометаллический";40
"11";"необработанные";"реф +10 +15";22
"12";"необработанные";"ТЕНТ";22
"13";"необработанные";"Реф +10";21
"14";"необработанные";"Реф тер";13
"15";"необработанные";"Термос,Реф";13
"16";"необработанные";"Термос";10
"17";"необработанные";"Реф,термос";9
"18";"необработанные";"Реф, термос";8
"19";"необработанные";"реф+10";8
"20";"необработанные";"реф,термос";6
"21";"необработанные";"Тент с боковой загрузкой";6
"22";"необработанные";"закрытая, отдельная";5
"23";"необработанные";"любой";5
"24";"необработанные";"любой с верхней погрузкой";4
"25";"необработанные";"Реф";4
"26";"необработанные";"реф +10";4
"27";"необработанные";"тент,с верхней растентовкой";4
"28";"необработанные";"термос";4
"29";"необработанные";"а/м";3
"30";"необработанные";"контейнер 40'";3
"31";"необработанные";"кран 25 тн.";3
"32";"необработанные";"отдельная, закрытая, задняя";3
"33";"необработанные";"Реф,+10";3
"34";"необработанные";"светотеника";3
"35";"необработанные";"тент догруз";3
"36";"необработанные";"тент ОПАСНАЯ ХИМИЯ АДР";3
"37";"необработанные";"трал, низкорамник";3
"38";"необработанные";"Автовышка";2
"39";"необработанные";"бок";2
"40";"необработанные";"Бортовой";2
"41";"необработанные";"верняя, боковая растентовка";2
"42";"необработанные";"еврофура закрытая.верхняя погрузка.коники";2
"43";"необработанные";"ЗАКРЫТЫЙ";2
"44";"необработанные";"Контейнер 1х20’DC";2
"45";"необработанные";"любой с верхней погрузкой-выгрузкой";2
"46";"необработанные";"манипулятор";2
"47";"необработанные";"масла";2
"48";"необработанные";"мультимодальная";2
"49";"необработанные";"негабарит (трал)";2
"50";"необработанные";"отдельная";2
"51";"необработанные";"реф";2
"52";"необработанные";"РЕФ ТЕМПЕРАТУРА -19";2
"53";"необработанные";"РЕФ,Термос";2
"54";"необработанные";"с кониками не менее 1,8м";2
"55";"необработанные";"тент ОПАСНАЯ ХИМИЯ АДР 6";2
"56";"необработанные";"тент погрузка верх";2
"57";"необработанные";"тент с боковой выгрузкой";2
"58";"необработанные";"тент с боковой и верхней загрузкой(разгрузкой)";2
"59";"необработанные";"тент/боковая/отдельная";2
"60";"необработанные";"4 м по полу";1
"61";"необработанные";"4-х метровая, отдельная, верхняя погрузка";1
"62";"необработанные";"40-футовый контейнер, отдельная";1
"63";"необработанные";"40-футовый контейнер, под пломбу";1
"64";"необработанные";"71695 или 71694  (или +79216320236) Олег Александрович, к водителю пришлют сопровождающего.";1
"65";"необработанные";"боковая погурзка, верхняя выгрузка , размеры  1 ящика 3,7*2,3*2,08 м вес 5407 кг";1
"66";"необработанные";"в стандартной евро-фуре 3 м по полу, верхняя, на хвост машины";1
"67";"необработанные";"верх. борт.";1
"68";"необработанные";"верхняя загрузка (разгрузка)";1
"69";"необработанные";"Верхняя растентовка";1
"70";"необработанные";"газель";1
"71";"необработанные";"ГАЗЕЛЬ";1
"72";"необработанные";"евро-фура (13,6м)";1
"73";"необработанные";"евро-фура с боковой и верхней погрузкой-выгрузкой, отдельная";1
"74";"необработанные";"ефрофура";1
"75";"необработанные";"загр:гидр.б. выгр:гидр.б.";1
"76";"необработанные";"закрытая";1
"77";"необработанные";"закрытая с верхней или открытая с тентом";1
"78";"необработанные";"закрытая, отдельная, длина 7 метров";1
"79";"необработанные";"закрытая, по полу не менее 4 метров";1
"80";"необработанные";"Звкрытый с ДОПОГ";1
"81";"необработанные";"Изотерма";1
"82";"необработанные";"КОНТЕЙНЕР";1
"83";"необработанные";"Контейнер 20'";1
"84";"необработанные";"кран (не менее 50 тонн)";1
"85";"необработанные";"любая закрытая";1
"86";"необработанные";"любая закрытая, разгрузка ночная";1
"87";"необработанные";"любой закрый с шириной не менее 2,1 м";1
"88";"необработанные";"любой закрыты, не менее 4 метров";1
"89";"необработанные";"любой с кониками, коники 3 пары, высота не менее 1,7, ремни";1
"90";"необработанные";"не менее 6 метров по полу, верх, отдельная";1
"91";"необработанные";"отдельная с верхней погрузкой";1
"92";"необработанные";"отдельная, закрытая";1
"93";"необработанные";"отдельная, закрытая, верхняя погрузка";1
"94";"необработанные";"отдельная, закрытая, ровный пол (без арок)";1
"95";"необработанные";"отдельная, не менее 4,2м";1
"96";"необработанные";"отдельная, под пломбу";1
"97";"необработанные";"открытая";1
"98";"необработанные";"по полу не менее 6,2м,  боковая";1
"99";"необработанные";"реф  +10";1
"100";"необработанные";"Реф (изотерма), отдельный.";1
"101";"необработанные";"РЕФ +10";1
"102";"необработанные";"Реф +10  под пломбу";1
"103";"необработанные";"РЕФ +10 +15";1
"104";"необработанные";"Реф +10 отдельная под пломбу";1
"105";"необработанные";"реф +5";1
"106";"необработанные";"реф термос";1
"107";"необработанные";"Реф, изот.";1
"108";"необработанные";"Реф, изотерм";1
"109";"необработанные";"реф, изотерма";1
"110";"необработанные";"реф, термос";1
"111";"необработанные";"Реф,изотерм";1
"112";"необработанные";"Реф,терм";1
"113";"необработанные";"тент   ОПАСНАЯ ХИМИЯ";1
"114";"необработанные";"Тент бок верх";1
"115";"необработанные";"тент ОПАСНАЯ ХИМИЯ";1
"116";"необработанные";"тент с боковой загрузкой";1
"117";"необработанные";"тент с боковой загрузкой выгрузкой";1
"118";"необработанные";"Тент с боковой загрузкой,верхняя выгрузка";1
"119";"необработанные";"Тент с боковой и верхней заг/выгр";1
"120";"необработанные";"Тент с боковой,";1
"121";"необработанные";"Тент с верхней загрузкой";1
"122";"необработанные";"тент, боковая";1
"123";"необработанные";"тент, боковая,   с сопровождающим (Вишневский Тарас +7911.115.46.55)";1
"124";"необработанные";"тент, задняя, боковая, отделюная";1
"125";"необработанные";"тент, погр-задн., выгр. боковая";1
"126";"необработанные";"тент, шаланда";1
"127";"необработанные";"Тентованная с боковой загрузкой, отдельная длина по полу не менее 7,5м";1
"128";"необработанные";"Тентованная с боковой загрузкой, отдельная,";1
"129";"необработанные";"тентованная, с задней и боковой загрузкой";1
"130";"необработанные";"тентованный с боковой загрузкой";1
"131";"необработанные";"тентованный со всеми растентовками, отдельная, не менее 6 метров";1
"132";"необработанные";"тентованный, верхняя, ремни";1
"133";"необработанные";"тер";1
"134";"необработанные";"тер реф";1
"135";"необработанные";"Терм";1
"136";"необработанные";"термос или реф";1
"137";"необработанные";"Термос Реф";1
"138";"необработанные";"трал";1
"139";"необработанные";"фура 13,6, с задней и боковой";1
"140";"необработанные";"фура, тент с боковой";1
"141";"необработанные";"фура, тент, с верхней";1
"142";"необработанные";"Фургон термос";1
