"";"cargo_type";"original_value";"Freq"
"1";"оборудование";"Цифровая";1
"2";"оборудование";"опоры и закладные";1
"3";"оборудование";"фурнитура";1
"4";"оборудование";"пластиковые трубы";1
"5";"оборудование";"свет";1
"6";"оборудование";"тех";16
"7";"оборудование";"бор";17
"8";"Прочее";"одежда";38
"9";"Прочее";"Бытовки";10
"10";"Прочее";"Двери";5
"11";"Прочее";"пробка";5
"12";"Прочее";"бытовки";3
"13";"Прочее";"Пробка";3
"14";"Прочее";"бутылка";2
"15";"Прочее";"мебель";2
"16";"Прочее";"Бутылка";1
"17";"масла";"мас";6
"18";"масла";"Смазка";17
"19";"масла";"чай";15
"20";"масла";"тосол";5
"21";"масла";"Масло";4
"22";"масла";"Сухое молоко";4
"23";"масла";"ликеры";3
"24";"масла";"химия не опасная, Груз в кубах пластиковых";3
"25";"масла";"Авиационное топливо ТС-1, кан. 20л.";2
"26";"масла";"Масла (неопасные)";2
"27";"масла";"Полиизоционат МДИ РМ-200 (по 250кг)";2
"28";"масла";"смазка";53
"29";"масла";"Масла (неопасные)";2
"30";"химия";"Масла (неопасные)";2
"31";"химия";"Полиизоционат МДИ РМ-200 (по 250кг)";2
"32";"химия";"Цифровая АТС для дооснащения сети";2
"33";"химия";"аккамуляторы";1
"34";"химия";"Алкогольная продукция";1
"35";"химия";"Ванол 2020 по 200кг";1
"36";"химия";"Гидроксид алюминия Portaflame SG63 ( по 25 кг.)";1
"37";"химия";"Груз в кубах пластиковых Трихлорпропилфосфат (ZW) по 1250 кг";1
"38";"химия";"Груз неопасная химия в кубах пластиковых Трихлорпропилфосфат (ZW) по 1250 кг";1
"39";"химия";"Двигатели, 1-й  2,09*1,29*1,70 (1 867 кг), 2-й  1,19*0,88*0,69 (220 кг)";1
"40";"химия";"Масла (неопасные)";2
"41";"химия";"Полиизоционат МДИ РМ-200 (по 250кг)";2
"42";"химия";"Гидроксид алюминия Portaflame SG63 ( по 25 кг.)";1
"43";"химия";"Груз в кубах пластиковых Трихлорпропилфосфат (ZW) по 1250 кг";1
"44";"химия";"Груз неопасная химия в кубах пластиковых Трихлорпропилфосфат (ZW) по 1250 кг";1
"45";"химия";"Двигатели, 1-й  2,09*1,29*1,70 (1 867 кг), 2-й  1,19*0,88*0,69 (220 кг)";1
"46";"химия";"Десмодур 44V20L";1
"47";"химия";"канаты в бухтах по 2 шт, связанные стальной лентой";1
"48";"химия";"керамическая плитка";1
"49";"химия";"Личные вещи";1
