region;city;street;latitude;longitude
Новосибирская;Новосибирск;Ленина;55.0281016;82.9210574
Свердловская;Екатеринбург;Ленина;56.8386326;60.6054887
Нижегородская;Нижний Новгород;Ленина;56.3242093;44.0053948
Нижегородская;Н.Новгород;Ленина;56.3242093;44.0053948
Татарстан;Казань;Ленина;55.7943877;49.1115312
Самарская;Самара;Ленина;53.1951657;50.1067691
Омская;Омск;Ленина;54.9848136;73.3674638
Челябинская;Челябинск;Ленина;55.1603659;61.4007858
Ростовская;Ростов-на-Дону;Ленина;47.2224364;39.7187866
Башкортостан;Уфа;Ленина;54.734853;55.9578647
Волгоградская;Волгоград;Ленина;48.7072005;44.5170207
Пермский;Пермь;Ленина;58.0103211;56.2341777
Красноярский;Красноярск;Ленина;56.009466;92.8524162
Воронежская;Воронеж;Ленина;51.6592378;39.1968284
Саратовская;Саратов;Ленина;51.530376;45.9530257
Краснодарский;Краснодар;Ленина;45.040235;38.9760801
Самарская;Тольятти;Ленина;53.5206438;49.389461
Алтайский;Барнаул;Ленина;53.3481145;83.7798362
Удмуртская;Ижевск;Ленина;56.8527444;53.2113961
Ульяновская;Ульяновск;Ленина;54.3080674;48.3748717
Приморский;Владивосток;Ленина;43.1163807;131.882348
Ярославская;Ярославль;Ленина;57.6216145;39.897878
Иркутская;Иркутск;Ленина;52.2863513;104.280655
Тюменская;Тюмень;Ленина;57.1530824;65.5343118
Дагестан;Махачкала;Ленина;42.9848572;47.5046303
Хабаровский;Хабаровск;Ленина;48.4647991;135.0598811
Оренбургская;Оренбург;Ленина;51.7875191;55.1017379
Кемеровская;Новокузнецк;Ленина;53.7942757;87.2144046
Кемеровская;Кемерово;Ленина;55.3909721;86.0467864
Рязанская;Рязань;Ленина;54.625457;39.7359992
Томская;Томск;Ленина;56.4847036;84.9481737
Астраханская;Астрахань;Ленина;46.3655808;48.0559979
Пензенская;Пенза;Ленина;53.1753884;45.0347408
Татарстан;Набережные;Ленина;55.7436475;52.3958739
Ленинградская;Кировск;Ленина;59.875371;30.9815205
Липецкая;Липецк;Ленина;52.6103027;39.5946266
Свердловская;Кировград;Ленина;57.4298451;60.0623588
Кировская;Кирово-Чепецк;Ленина;58.5559921;50.0317608
Тульская;Тула;Ленина;54.192017;37.6153885
Кировская;Киров;Ленина;58.6035312;49.6679219
Чувашская;Чебоксары;Ленина;56.1439378;47.2488718
Бурятия;Улан-Удэ;Ленина;51.8334378;107.5841511
Калининградская;Калининград;Ленина;54.7073218;20.5072458
