;region;ati
1;Санкт-Петербург;Saint-Petersburg
2;Москва;Moscow
3;Адыгея;42
4;Алтай;45
5;Алтайский;20
6;Амурская;62
7;Архангельская;6
8;Астраханская;63
9;Башкортостан;43
10;Белгородская;64
11;Брянская;65
12;Бурятия;44
13;Владимирская;66
14;Волгоградская;67
15;Вологодская;33
16;Воронежская;26
17;Дагестан;46
18;Еврейская;89
19;Забайкальский;87
20;Ивановская;69
21;Ингушетия;47
22;Иркутская;70
23;Кабардино-Балкарская;48
24;Калининградская;71
25;Калмыкия;49
26;Калужская;36
27;Камчатский;72
28;Карачаево-Черкесская;50
29;Карелия;4
30;Кемеровская;37
31;Кировская;38
32;Коми;18
33;Костромская;39
34;Краснодарский;40
35;Красноярский;41
36;Крым;131
37;Курганская;73
38;Курская;74
39;Ленинградская;2
40;Липецкая;75
41;Магаданская;76
42;Марий Эл;51
43;Мордовия;10
44;Московская;1
45;Мурманская;77
46;Ненецкий;433
47;Нижегородская;78
48;Новгородская;79
49;Новосибирская;80
50;Омская;81
51;Оренбургская;82
52;Орловская;83
53;Пензенская;84
54;Пермский;3
55;Приморский;60
56;Псковская;5
57;Ростовская;7
58;Рязанская;8
59;Самарская;9
60;Саратовская;11
61;Сахалинская;85
62;Саха /Якутия/;52
63;Свердловская;21
64;Севастополь;131
65;Северная Осетия - Алания;53
66;Смоленская;13
67;Ставропольский;14
68;Тамбовская;19
69;Татарстан;54
70;Тверская;22
71;Томская;23
72;Тульская;24
73;Тыва;55
74;Тюменская;15
75;Удмуртская;56
76;Ульяновская;25
77;Хабаровский;61
78;Хакасия;57
79;Ханты-Мансийский Автономный округ - Югра;16
80;Челябинская;86
81;Чеченская;58
82;Чувашская;59
83;Чукотский;92
84;Ямало-Ненецкий;17
85;Ярославская;88
86;Казахстан;
