"","calendar","diesel_price","dollar"
"1","2019-09-14","45.05","65,19"
"2","2019-09-13","45.05","65,43"
"3","2019-09-12","45.05","65,43"
"4","2019-09-11","45.05","65,56"
"5","2019-09-10","45.05","65,99"
"6","2019-09-09","45.05","65,99"
"7","2019-09-08","45.05","65,99"
"8","2019-09-07","45.05","66,05"
"9","2019-09-06","45.05","66,50"
"10","2019-09-05","45.05","66,90"
"11","2019-09-04","45.05","66,62"
"12","2019-09-03","45.05","66,48"
"13","2019-09-02","45.05","66,48"
"14","2019-09-01","45.05","66,48"
"15","2019-08-31","45.05","66,74"
"16","2019-08-30","45.05","66,41"
"17","2019-08-29","45.05","66,26"
"18","2019-08-28","45.05","65,97"
"19","2019-08-27","45.05","65,60"
"20","2019-08-26","45.05","65,60"
"21","2019-08-25","45.05","65,60"
"22","2019-08-24","45.05","65,61"
"23","2019-08-23","45.05","66,26"
"24","2019-08-22","45.05","66,78"
"25","2019-08-21","45.05","66,60"
"26","2019-08-20","45.05","65,99"
"27","2019-08-19","45.05","65,99"
"28","2019-08-18","45.05","65,99"
"29","2019-08-17","45.05","65,89"
"30","2019-08-16","45.05","65,20"
"31","2019-08-15","45.05","65,60"
"32","2019-08-14","45.05","65,42"
"33","2019-08-13","45.05","65,25"
"34","2019-08-12","45.05","65,25"
"35","2019-08-11","45.05","65,25"
"36","2019-08-10","45.05","65,12"
"37","2019-08-09","45.05","65,09"
"38","2019-08-08","45.05","65,20"
"39","2019-08-07","45.05","65,05"
"40","2019-08-06","45.05","64,64"
"41","2019-08-05","45.05","64,64"
"42","2019-08-04","45.05","64,64"
"43","2019-08-03","45.05","63,83"
"44","2019-08-02","45.05","63,41"
"45","2019-08-01","45.05","63,37"
"46","2019-07-31","45.05","63,52"
"47","2019-07-30","45.05","63,12"
"48","2019-07-29","45.05","63,12"
"49","2019-07-28","45.05","63,12"
"50","2019-07-27","45.05","63,15"
"51","2019-07-26","45.05","63,11"
"52","2019-07-25","45.05","63,12"
"53","2019-07-24","45.05","62,97"
"54","2019-07-23","45.05","62,86"
"55","2019-07-22","45.05","62,86"
"56","2019-07-21","45.05","62,86"
"57","2019-07-20","45.05","62,82"
"58","2019-07-19","45.05","62,94"
"59","2019-07-18","45.05","62,81"
"60","2019-07-17","45.05","62,82"
"61","2019-07-16","45.05","63,02"
"62","2019-07-15","45.05","63,02"
"63","2019-07-14","45.05","63,02"
"64","2019-07-13","45.05","62,99"
"65","2019-07-12","45.05","63,79"
"66","2019-07-11","45.05","63,76"
"67","2019-07-10","45.05","63,86"
"68","2019-07-09","45.05","63,58"
"69","2019-07-08","45.05","63,58"
"70","2019-07-07","45.05","63,58"
"71","2019-07-06","45.05","63,40"
"72","2019-07-05","45.05","63,49"
"73","2019-07-04","45.05","63,22"
"74","2019-07-03","45.05","63,05"
"75","2019-07-02","45.05","63,07"
"76","2019-07-01","45.05","63,07"
"77","2019-06-30","45.05","63,07"
"78","2019-06-29","45.05","63,04"
"79","2019-06-28","45.05","62,80"
"80","2019-06-27","45.05","62,52"
"81","2019-06-26","45.05","62,90"
"82","2019-06-25","45.05","63,12"
"83","2019-06-24","45.05","63,12"
"84","2019-06-23","45.05","63,12"
"85","2019-06-22","45.05","63,38"
"86","2019-06-21","45.05","63,97"
"87","2019-06-20","45.05","64,33"
"88","2019-06-19","45.05","64,31"
"89","2019-06-18","45.05","64,43"
"90","2019-06-17","45.05","64,43"
"91","2019-06-16","45.05","64,43"
"92","2019-06-15","45.05","64,63"
"93","2019-06-14","45.05","64,51"
"94","2019-06-13","45.05","64,51"
"95","2019-06-12","45.05","64,79"
"96","2019-06-11","45.05","65,03"
"97","2019-06-10","45.05","65,03"
"98","2019-06-09","45.05","65,03"
"99","2019-06-08","45.05","65,23"
"100","2019-06-07","45.05","65,12"
"101","2019-06-06","45.05","65,16"
"102","2019-06-05","45.05","65,55"
"103","2019-06-04","45.05","65,38"
"104","2019-06-03","45.05","65,38"
"105","2019-06-02","45.05","65,38"
"106","2019-06-01","45.05","65,05"
"107","2019-05-31","45.05","64,90"
"108","2019-05-30","45.05","64,53"
"109","2019-05-29","45.05","64,46"
"110","2019-05-28","45.05","64,61"
"111","2019-05-27","45.05","64,61"
"112","2019-05-26","45.05","64,61"
"113","2019-05-25","45.05","64,49"
"114","2019-05-24","45.05","64,41"
"115","2019-05-23","45.05","64,53"
"116","2019-05-22","45.05","64,48"
"117","2019-05-21","45.05","64,63"
"118","2019-05-20","45.05","64,63"
"119","2019-05-19","45.05","64,63"
"120","2019-05-18","45.05","64,55"
"121","2019-05-17","45.05","64,84"
"122","2019-05-16","45.05","65,30"
"123","2019-05-15","45.05","65,47"
"124","2019-05-14","45.05","65,22"
"125","2019-05-13","45.05","65,22"
"126","2019-05-12","45.05","65,22"
"127","2019-05-11","45.05","65,22"
"128","2019-05-10","45.05","65,22"
"129","2019-05-09","45.05","65,21"
"130","2019-05-08","45.05","65,33"
"131","2019-05-07","45.05","64,63"
"132","2019-05-06","45.05","64,63"
"133","2019-05-05","45.05","64,63"
"134","2019-05-04","45.05","64,63"
"135","2019-05-03","45.05","64,63"
"136","2019-05-02","45.05","64,63"
"137","2019-05-01","45.05","64,69"
"138","2019-04-30","45.05","64,70"
"139","2019-04-29","45.05","64,70"
"140","2019-04-28","45.05","64,70"
"141","2019-04-27","45.05","64,67"
"142","2019-04-26","45.05","63,97"
"143","2019-04-25","45.05","63,79"
"144","2019-04-24","45.05","63,78"
"145","2019-04-23","45.05","63,96"
"146","2019-04-22","45.05","63,96"
"147","2019-04-21","45.05","63,96"
"148","2019-04-20","45.05","64,06"
"149","2019-04-19","45.05","63,94"
"150","2019-04-18","45.05","64,24"
"151","2019-04-17","45.05","64,24"
"152","2019-04-16","45.05","64,51"
"153","2019-04-15","45.05","64,51"
"154","2019-04-14","45.05","64,51"
"155","2019-04-13","45.05","64,39"
"156","2019-04-12","45.05","64,73"
"157","2019-04-11","45.05","64,77"
"158","2019-04-10","45.05","65,34"
"159","2019-04-09","45.05","65,40"
