"";"unload_city";"lat.y";"long.y";"lat";"long";"thegroup"
"1";"Akhtubinsk";"48.27871848";"46.16869584";53;199;"Volgograd"
"2";"Kuznetsk";"53.12041262";"46.59998734";122;202;"Samara"
"3";"Alatyr";"54.8503587";"46.59998734";178;202;"Samara"
"4";"Astrakhan";"46.34865541";"48.05498897";39;212;"Astrakhan"
"5";"Elista";"46.32865664";"44.20871212";38;184;"Astrakhan"
"6";"Balakovo";"52.02998822";"47.80001745";93;210;"Samara"
"7";"Belgorod";"50.62999615";"36.5999259";71;87;"West"
"8";"Shebekino";"50.4143504";"36.89437821";69;91;"West"
"9";"Valuyki";"50.20909161";"38.09869747";65;105;"West"
"10";"Borisoglebsk";"51.36871075";"42.08873816";78;166;"Volgograd"
"11";"Kirov";"54.08518577";"34.30482051";153;74;"West"
"12";"Vyazma";"55.21219708";"34.29179805";195;73;"West"
"13";"Bryansk";"53.25999066";"34.42998083";129;78;"West"
"14";"Mtsensk";"53.26474489";"36.54716426";130;86;"West"
"15";"Buzuluk";"52.78211285";"52.26176062";113;234;"Samara"
"16";"Cheboksary";"56.12997052";"47.25002519";224;205;"Volga"
"17";"Cherkessk";"44.29040895";"42.06000606";20;165;"Caucasus"
"18";"Georgievsk";"44.15990013";"43.46994584";18;177;"Caucasus"
"19";"Zelenokumsk";"44.40910972";"43.87870642";21;182;"Caucasus"
"20";"Chistopol";"55.36477175";"50.64067094";199;228;"Volga"
"21";"Irkutsk";"52.31997052";"104.2450476";96;9;"Sibir"
"22";"Ulan Ude";"51.82498781";"107.6249963";90;11;"Sibir"
"23";"Chita";"52.05502545";"113.4650016";95;13;"Sibir"
"24";"Angarsk";"52.56000755";"103.9200028";103;7;"Sibir"
"25";"Bratsk";"56.15699729";"101.6150272";226;2;"Sibir"
"26";"Ust-Ulimsk";"57.98996035";"102.6333113";275;4;"Sibir"
"27";"Tulun";"54.56533734";"100.5653755";167;1;"Sibir"
"28";"Zheleznogorsk Ilimskiy";"56.57624819";"104.1226778";244;8;"Sibir"
"29";"Severobaykalsk";"55.63400596";"109.3129553";208;12;"Sibir"
"30";"Usolye Sibirskoye";"52.76498212";"103.6449808";110;6;"Sibir"
"31";"Cheremkhovo";"53.15880821";"103.0738529";125;5;"Sibir"
"32";"Ust Kut";"56.76497052";"105.7599939";249;10;"Sibir"
"33";"Ishim";"56.15022768";"69.44980709";225;304;"Sibir"
"34";"Ivanovo";"57.01002016";"41.00999263";255;149;"Yaroslavl"
"35";"Kaliningrad";"54.70000612";"20.49734289";174;44;"Kaliningrad"
"36";"Chernyakhovsk";"54.6316382";"21.81085445";171;45;"Kaliningrad"
"37";"Sovetsk";"55.07176638";"21.88196122";188;46;"Kaliningrad"
"38";"Kaluga";"54.52037884";"36.27002356";165;85;"Kaluga"
"39";"Obninsk";"55.08044802";"36.62002803";190;88;"Kaluga"
"40";"Kanash";"55.50912986";"47.46866817";206;207;"Volga"
"41";"Petrozavodsk";"61.84998313";"34.28001583";326;71;"Karelia"
"42";"Kondopoga";"62.20872093";"34.28869747";330;72;"Karelia"
"43";"Makhachkala";"42.98002382";"47.49998409";5;208;"Caucasus"
"44";"Vladikavkaz";"43.05038129";"44.66997595";6;188;"Caucasus"
"45";"Naltchik";"43.4981059";"43.61794714";11;179;"Caucasus"
"46";"Groznyy";"43.31868532";"45.69869869";10;196;"Caucasus"
"47";"Derbent";"42.05780621";"48.27740434";1;213;"Caucasus"
"48";"Nazran";"43.23300312";"44.78300151";9;190;"Caucasus"
"49";"Buynaksk";"42.8334953";"47.11303096";2;204;"Caucasus"
"50";"Kaspiysk";"42.87473309";"47.62436926";4;209;"Caucasus"
"51";"Zelenodolsk";"55.84055666";"48.65500403";215;217;"Volga"
"52";"Kazan";"55.74994204";"49.12634477";212;219;"Volga"
"53";"Kirov";"58.59005292";"49.66998083";293;222;"Komi"
"54";"Kirovo-Chepetsk";"58.55437034";"50.04437659";292;225;"Komi"
"55";"Slobodskoy";"58.71849469";"50.18803707";296;227;"Komi"
"56";"Sharya";"58.37975568";"45.50935624";288;195;"Komi"
"57";"Omutninsk";"58.6589376";"52.1591829";295;232;"Komi"
"58";"Kotelnich";"58.30412722";"48.31373287";287;214;"Komi"
"59";"Syktyvkar";"61.65999473";"50.81998816";325;229;"Komi"
"60";"Ukhta";"63.55998212";"53.68999385";333;242;"Komi"
"61";"Kovrov";"56.36036989";"41.33002478";237;151;"Vladimir"
"62";"Maykop";"44.60997601";"40.12002112";25;137;"Krasnodar"
"63";"Gelendzhik";"44.57475852";"38.06438432";23;104;"Krasnodar"
"64";"Apsheronsk";"44.46871848";"39.72872717";22;128;"Krasnodar"
"65";"Nevinnomyssk";"44.62005292";"41.95003861";26;161;"Caucasus"
"66";"Labinsk";"44.6347807";"40.74427242";27;146;"Caucasus"
"67";"Kursk";"51.73998008";"36.19002844";88;84;"West"
"68";"Zheleznogorsk";"52.3547746";"35.40439164";97;81;"West"
"69";"Livny";"52.42479616";"37.60436072";98;98;"West"
"70";"Lipetsk";"52.62000389";"39.63999874";106;125;"Voronezh"
"71";"Yelets";"52.58000633";"38.50001664";104;113;"Voronezh"
"72";"Gryazi";"52.49476605";"39.9343477";100;134;"Voronezh"
"73";"Izhevsk";"56.85002993";"53.23002193";250;240;"Volga"
"74";"Orenburg";"51.77997764";"55.11001054";89;249;"Volga"
"75";"Naberezhnyye Chelny";"55.69999676";"52.31994828";210;235;"Volga"
"76";"Sterlitamak";"53.62999392";"55.96003617";139;254;"Volga"
"77";"Berezniki";"59.42000226";"56.75998734";302;258;"Volga"
"78";"Neftekamsk";"56.08351341";"54.26308549";222;247;"Volga"
"79";"Almetyevsk";"54.90040733";"52.31994828";180;235;"Volga"
"80";"Solikamsk";"59.669987";"56.74996212";308;257;"Volga"
"81";"Glazov";"58.12320803";"52.62876664";282;238;"Volga"
"82";"Sarapul";"56.47914817";"53.79872107";241;244;"Volga"
"83";"Votkinsk";"57.03040651";"53.99002722";258;245;"Volga"
"84";"Oktyabrskiy";"54.4599691";"53.45998205";163;241;"Volga"
"85";"Bugulma";"54.55433026";"52.79428625";166;239;"Volga"
"86";"Tuymazy";"54.6047923";"53.69433467";169;243;"Volga"
"87";"Leninogorsk";"54.59869448";"52.44872595";168;237;"Volga"
"88";"Buguruslan";"53.66301516";"52.43301632";140;236;"Volga"
"89";"Krasnokamsk";"58.07473553";"55.74428707";281;251;"Volga"
"90";"Kumertau";"52.7747748";"55.7843363";112;252;"Volga"
"91";"Birsk";"55.42438051";"55.54435095";203;250;"Volga"
"92";"Mednogorsk";"51.41912111";"57.57874874";80;263;"Volga"
"93";"Kungur";"57.4347746";"56.95434241";263;259;"Volga"
"94";"Belebey";"54.12913658";"54.11870154";156;246;"Volga"
"95";"Kudymkar";"59.01617678";"54.63303707";298;248;"Volga"
"96";"Ufa";"54.78997479";"56.04003129";177;255;"Volga"
"97";"Perm";"57.99995974";"56.24999263";277;256;"Volga"
"98";"Salavat";"53.37034568";"55.92996049";132;253;"Volga"
"99";"Michurinsk";"52.8999868";"40.49999792";114;143;"Ryazan"
"100";"Millerovo";"48.93785138";"40.39742021";59;141;"Rostov"
"101";"Kislovodsk";"43.90996706";"42.72001745";15;171;"Caucasus"
"102";"Pyatigorsk";"44.07995668";"43.09002071";16;172;"Caucasus"
"103";"Mozdok";"43.75431765";"44.65436967";13;187;"Caucasus"
"104";"Podolsk";"55.38042971";"37.52994665";200;97;"MO"
"105";"Noginsk";"55.87042564";"38.48001786";216;112;"MO"
"106";"Serpukhov";"54.93037966";"37.43000443";181;95;"MO"
"107";"Kolomna";"55.07998293";"38.78496049";189;115;"MO"
"108";"Orekhovo-Zuevo";"55.82001528";"38.97998734";214;119;"MO"
"109";"Sergiyev Posad";"56.33000999";"38.17001094";234;108;"MO"
"110";"Yegoryevsk";"55.38479637";"39.02939001";201;121;"MO"
"111";"Moscow";"55.75216412";"37.61552283";213;99;"MO"
"112";"Klin";"56.34305829";"36.69873124";236;90;"Russia"
"113";"Kimry";"56.86912437";"37.34437659";253;94;"Russia"
"114";"Solnechnogorsk";"56.18069094";"36.98088456";227;92;"Russia"
"115";"Murmansk";"68.96998781";"33.10003617";349;64;"Murmansk"
"116";"Kandalaksha";"67.16433575";"32.41439327";343;61;"Murmansk"
"117";"Apatity";"67.57307049";"33.39304154";345;66;"Murmansk"
"118";"Monchegorsk";"67.92912111";"32.8287349";347;62;"Murmansk"
"119";"Severomorsk";"69.07305646";"33.42306555";350;67;"Murmansk"
"120";"Murom";"55.57041811";"42.04000728";207;164;"Vladimir"
"121";"Nefteyugansk";"61.07765301";"72.70268347";322;306;"Ugra"
"122";"Nadym";"65.5298102";"72.51478796";339;305;"Ugra"
"123";"Nizhnekamsk";"55.64043968";"51.82003048";209;231;"Volga"
"124";"Mozhga";"56.4547569";"52.18434932";240;233;"Volga"
"125";"Dzerzhinsk";"56.25037661";"43.46002397";230;176;"NN"
"126";"Balakhna";"56.49434104";"43.59438269";242;178;"NN"
"127";"Nizhny Novgorod";"56.33300722";"44.00009436";235;183;"NN"
"128";"Borovichi";"58.39781659";"33.89740352";289;69;"Russia"
"129";"Tikhvin";"59.64484641";"33.51437781";307;68;"Russia"
"130";"Bologoye";"57.87216392";"34.05176103";273;70;"Russia"
"131";"Krasnodar";"45.01997683";"39.0000378";30;120;"Krasnodar"
"132";"Novorossiysk";"44.72996869";"37.76993201";28;101;"Krasnodar"
"133";"Armavir";"45.00039146";"41.13003699";29;150;"Krasnodar"
"134";"Nyagan";"62.14652834";"65.38142493";329;298;"Ugra"
"135";"Omsk";"54.98998842";"73.39995357";183;307;"Sibir"
"136";"Orel";"52.96995668";"36.06998409";115;83;"West"
"137";"Orsk";"51.21001243";"58.62731523";76;268;"Volga"
"138";"Novotroitsk";"51.20001304";"58.33002071";75;266;"Volga"
"139";"Starsy Oskol";"51.30042035";"37.83995357";77;102;"West"
"140";"Otradnyy";"53.37781293";"51.34739783";133;230;"Samara"
"141";"Chusovoy";"58.2934302";"57.81304968";285;265;"Ural"
"142";"Krasnoufimsk";"56.59911501";"57.7586344";245;264;"Ural"
"143";"Pskov";"57.82999595";"28.32993974";271;48;"Pskov"
"144";"Taganrog";"47.22999697";"38.91999101";46;117;"Rostov"
"145";"Shakhty";"47.72038047";"40.2700378";50;140;"Rostov"
"146";"Novocherkassk";"47.41995953";"40.08002356";48;135;"Rostov"
"147";"Volgodonsk";"47.50997988";"42.15994828";49;169;"Rostov"
"148";"Bataysk";"47.13682436";"39.74485022";45;130;"Rostov"
"149";"Yeysk";"46.69878908";"38.26339026";42;110;"Rostov"
"150";"Salsk";"46.4775106";"41.5420015";40;157;"Rostov"
"151";"Belaya Kalitva";"48.18650189";"40.78613033";52;147;"Rostov"
"152";"Rostov";"47.23464785";"39.7126558";47;126;"Rostov"
"153";"Novoshakhtinsk";"47.76998985";"39.91998165";51;133;"Rostov"
"154";"Velikiy Novgorod";"58.4999809";"31.33001501";291;55;"Russia"
"155";"Kolpino";"59.73000917";"30.65000484";309;54;"Russia"
"156";"Staraya Russa";"57.99476625";"31.35435461";276;56;"Russia"
"157";"Ryazan";"54.61995933";"39.71999385";170;127;"Ryazan"
"158";"Rzhev";"56.2574046";"34.32745479";231;76;"Pskov"
"159";"Tolyatti";"53.48039064";"49.53004106";137;220;"Samara"
"160";"Novokuybishevsk";"53.11999921";"49.91993974";121;224;"Samara"
"161";"Dimitrovgrad";"54.25042116";"49.56001339";159;221;"Samara"
"162";"Chapayevsk";"52.97432334";"49.72434444";116;223;"Samara"
"163";"Samara";"53.19500755";"50.15129512";128;226;"Samara"
"164";"Penza";"53.18002138";"44.99998165";127;192;"Samara"
"165";"Saransk";"54.17037437";"45.18002234";157;193;"Samara"
"166";"Engels";"51.50040814";"46.12001664";82;198;"Samara"
"167";"Ruzayevka";"54.06433433";"44.92437903";152;191;"Samara"
"168";"Serdobsk";"52.46218406";"44.22178625";99;185;"Samara"
"169";"Saratov";"51.57998985";"46.0299963";85;197;"Samara"
"170";"Segezha";"63.75477643";"34.32430253";334;75;"Karelia"
"171";"Roslavl";"53.95090456";"32.86041256";149;63;"West"
"172";"Safonovo";"55.1464905";"33.21610144";191;65;"West"
"173";"Severodvinsk";"64.57002382";"39.83001298";336;131;"Arkhangelsk"
"174";"Pechora";"65.15874758";"57.20874548";338;260;"Komi"
"175";"Usinsk";"65.92304201";"57.40299719";340;262;"Komi"
"176";"Tikhoretsk";"45.85310427";"40.13774613";36;138;"Krasnodar"
"177";"Timashevsk";"45.62474611";"38.94438228";35;118;"Krasnodar"
"178";"Kropotkin";"45.44708254";"40.58211177";33;145;"Krasnodar"
"179";"Kamensk Shakhtinskiy";"48.33176434";"40.25179602";54;139;"Rostov"
"180";"Shumerlya";"55.4848161";"46.42439083";205;201;"Volga"
"181";"Shuya";"56.85434491";"41.36428625";251;152;"Yaroslavl"
"182";"Krasnoyarsk";"56.01398277";"92.86600053";219;347;"Sibir"
"183";"Barnaul";"53.35499778";"83.74500688";131;326;"Sibir"
"184";"Novokuznetsk";"53.75001243";"87.11498205";143;338;"Sibir"
"185";"Tomsk";"56.494987";"84.97500932";243;329;"Sibir"
"186";"Kemerovo";"55.33996706";"86.08998002";197;334;"Sibir"
"187";"Prokopyevsk";"53.89997744";"86.70999385";147;337;"Sibir"
"188";"Noginsk";"64.48331077";"91.23333533";335;343;"Sibir"
"189";"Biysk";"52.53406598";"85.18000972";101;330;"Sibir"
"190";"Abakan";"53.70368451";"91.44500199";141;345;"Sibir"
"191";"Rubtsovsk";"51.52001935";"81.21001949";83;320;"Sibir"
"192";"Achinsk";"56.26998781";"90.49999508";232;341;"Sibir"
"193";"Leninsk Kuznetsky";"54.66000856";"86.16997514";173;335;"Sibir"
"194";"Kyzyl";"51.70670046";"94.38306555";86;348;"Sibir"
"195";"Kansk";"56.19001853";"95.71001298";228;350;"Sibir"
"196";"Kiselevsk";"54.00002301";"86.64002397";150;336;"Sibir"
"197";"Novoaltaysk";"53.39925865";"83.95884395";134;327;"Sibir"
"198";"Yurga";"55.72575747";"84.88540238";211;328;"Sibir"
"199";"Lesosibirsk";"58.24325238";"92.48328487";284;346;"Sibir"
"200";"Iskitim";"54.65093935";"83.28653357";172;325;"Sibir"
"201";"Sayanogorsk";"53.0894326";"91.40040523";120;344;"Sibir"
"202";"Tayshet";"55.92770896";"97.98770341";217;352;"Sibir"
"203";"Mariinsk";"56.21076662";"87.76036902";229;339;"Sibir"
"204";"Nizhneudinsk";"54.89766848";"99.02769161";179;353;"Sibir"
"205";"Kamenna Obi";"53.7936015";"81.33879716";145;321;"Sibir"
"206";"Chernogorsk";"53.8313253";"91.22268998";146;342;"Sibir"
"207";"Boyarka";"70.76698407";"97.50003292";352;351;"Sibir"
"208";"Zaozernyy";"55.96197044";"94.70278764";218;349;"Sibir"
"209";"Guryevsk";"54.29814435";"85.93768957";160;331;"Sibir"
"210";"Barabinsk";"55.35727867";"78.35189937";198;318;"Sibir"
"211";"Kolpashevo";"58.30040651";"82.99538855";286;324;"Sibir"
"212";"Slavgorod";"53.00494163";"78.6695544";117;319;"Sibir"
"213";"Karasuk";"53.72730064";"78.02189368";142;317;"Sibir"
"214";"Gorno Altaysk";"51.96133608";"85.95768835";91;332;"Sibir"
"215";"Anzhero Sudzhensk";"56.08002525";"86.04000891";221;333;"Sibir"
"216";"Novosibirsk";"55.02996014";"82.96004187";187;323;"Sibir"
"217";"Slantsy";"59.11159731";"28.07465816";299;47;"Russia"
"218";"Sochi";"43.59001243";"39.72996741";12;129;"Krasnodar"
"219";"Vyborg";"60.70387738";"28.75492672";315;49;"Russia"
"220";"Gatchina";"59.5706649";"30.13334387";304;51;"Russia"
"221";"Luga";"58.7363489";"29.83899491";297;50;"Russia"
"222";"St. Petersburg";"59.93901451";"30.31602006";313;52;"Russia"
"223";"Stavropol";"45.05000083";"41.98001094";31;162;"Caucasus"
"224";"Blagodarnyy";"45.10472618";"43.43439245";32;175;"Caucasus"
"225";"Tambov";"52.73002301";"41.43001868";109;154;"Ryazan"
"226";"Morshansk";"53.4547333";"41.80436275";136;158;"Ryazan"
"227";"Kasimov";"54.9434538";"41.39307003";182;153;"Ryazan"
"228";"Kotovsk";"52.59473411";"41.50438106";105;155;"Ryazan"
"229";"Sasovo";"54.34914899";"41.90869747";162;159;"Ryazan"
"230";"Tuapse";"44.11476076";"39.06437496";17;122;"Krasnodar"
"231";"Tula";"54.19995913";"37.62994055";158;100;"Tula"
"232";"Novomoskovsk";"54.09001752";"38.21998205";154;109;"Tula"
"233";"Shchekino";"54.01433738";"37.5142887";151;96;"Tula"
"234";"Aleksin";"54.5143327";"37.09436601";164;93;"Tula"
"235";"Bogoroditsk";"53.77468793";"38.11435543";144;106;"Tula"
"236";"Tyumen";"57.14001223";"65.52999467";259;299;"Ural"
"237";"Yalutorovsk";"56.67363243";"66.29826819";247;300;"Ural"
"238";"Tver";"56.85997764";"35.88999508";252;82;"Russia"
"239";"Torzhok";"57.02906293";"34.97873287";257;80;"Russia"
"240";"Kotlas";"61.26306805";"46.66308427";324;203;"Arkhangelsk"
"241";"Velikiy Ustyug";"60.76870546";"46.29866207";317;200;"Arkhangelsk"
"242";"Velsk";"61.06739524";"42.0974198";321;167;"Arkhangelsk"
"243";"Kineshma";"57.46996625";"42.12997595";264;168;"Yaroslavl"
"244";"Vichuga";"57.21912884";"41.92874792";261;160;"Yaroslavl"
"245";"Uglich";"57.52435569";"38.33000118";266;111;"Yaroslavl"
"246";"Rostov";"57.18915651";"39.40430253";260;124;"Yaroslavl"
"247";"Tobolsk";"58.1997925";"68.26481482";283;302;"Ugra"
"248";"Khanty Mansiysk";"61.00153363";"69.00151404";319;303;"Ugra"
"249";"Salekhard";"66.53502016";"66.60998043";342;301;"Ugra"
"250";"Ulyanovsk";"54.32997703";"48.41000606";161;215;"Samara"
"251";"Syzran";"53.16999615";"48.47997595";126;216;"Samara"
"252";"Nizhny Tagil";"57.9200163";"59.9749849";274;275;"Ural"
"253";"Kurgan";"55.45995974";"65.34499304";204;297;"Ural"
"254";"Magnitogorsk";"53.42269391";"58.98000688";135;270;"Ural"
"255";"Kamensk Uralskiy";"56.42046958";"61.9350203";238;293;"Ural"
"256";"Zlatoust";"55.17499005";"59.64999182";194;271;"Ural"
"257";"Miass";"54.99541445";"60.0949259";184;277;"Ural"
"258";"Pervouralsk";"56.91002626";"59.9550378";254;273;"Ural"
"259";"Troitsk";"54.10564964";"61.57023637";155;290;"Ural"
"260";"Shadrinsk";"56.08366844";"63.6332629";223;294;"Ural"
"261";"Krasnoturinsk";"59.79478558";"60.48477291";311;281;"Ural"
"262";"Nizhnyaya Tura";"58.64364138";"59.7982515";294;272;"Ural"
"263";"Sibay";"52.70911989";"58.63873572";108;269;"Ural"
"264";"Verkhnyaya Salda";"58.05018923";"60.54978186";278;282;"Ural"
"265";"Kyshtym";"55.69999676";"60.5595487";210;283;"Ural"
"266";"Alapayevsk";"57.84650657";"61.69152095";272;291;"Ural"
"267";"Polevskoy";"56.44341392";"60.18804683";239;278;"Ural"
"268";"Artemovskiy";"57.36519228";"61.86975297";262;292;"Ural"
"269";"Yemanzhelinsk";"54.74886619";"61.29350907";175;287;"Ural"
"270";"Severouralsk";"60.15652061";"59.96154903";314;274;"Ural"
"271";"Verkhniy Ufaley";"56.06627932";"60.23130001";220;280;"Ural"
"272";"Karpinsk";"59.76016237";"60.00981482";310;276;"Ural"
"273";"Kartaly";"53.04739382";"60.6819185";118;286;"Ural"
"274";"Nevyansk";"57.49024925";"60.21476355";265;279;"Ural"
"275";"Tavda";"58.05365155";"65.25827999";280;296;"Ural"
"276";"Chelyabinsk";"55.15499127";"61.43866817";192;288;"Ural"
"277";"Yekaterinburg";"56.85002993";"60.59995967";250;285;"Ural"
"278";"Uryupinsk";"50.77344993";"42.00305863";73;163;"Volgograd"
"279";"Velikiye Luki";"56.31995892";"30.52003861";233;53;"Pskov"
"280";"Vladimir";"56.12997052";"40.4099259";224;142;"Vladimir"
"281";"Volzhskiy";"48.79481101";"44.77436234";57;189;"Volgograd"
"282";"Volgograd";"48.71000999";"44.49996049";56;186;"Volgograd"
"283";"Kamyshin";"50.08039146";"45.40000891";64;194;"Volgograd"
"284";"Mikhaylovka";"50.06785992";"43.21745479";63;174;"Volgograd"
"285";"Frolovo";"49.77219322";"43.65179521";61;180;"Volgograd"
"286";"Volkhov";"59.92909263";"32.33873897";312;60;"Russia"
"287";"Cherepovets";"59.14043276";"37.90997514";300;103;"Vologda"
"288";"Vologda";"59.20998924";"39.91998165";301;133;"Vologda"
"289";"Sokol";"59.46477989";"40.11438839";303;136;"Vologda"
"290";"Volsk";"52.03471661";"47.37430701";94;206;"Samara"
"291";"Voronezh";"51.72998069";"39.26999548";87;123;"Voronezh"
"292";"Vladivostok";"43.13001467";"131.9100256";7;24;"Fareast"
"293";"Khabarovsk";"48.4549868";"135.1200105";55;33;"Fareast"
"294";"Komsomolsk na Amure";"50.55498781";"137.0199979";70;35;"Fareast"
"295";"Yakutsk";"62.03495892";"129.7350162";327;23;"Fareast"
"296";"Blagoveshchensk";"50.26660748";"127.5333418";67;20;"Fareast"
"297";"Yuzhno Sakhalinsk";"46.96497438";"142.7400105";43;39;"Fareast"
"298";"Nakhodka";"42.83744855";"132.8874336";3;27;"Fareast"
"299";"Ussuriysk";"43.80002545";"132.019993";14;25;"Fareast"
"300";"Magadan";"59.57497988";"150.8100089";305;41;"Fareast"
